OrgID,Legal title,Applied title,Website,Enabling instruments,Description raison d'étre,Ministerial portfolio,Institutional form,Population code,FAA institution schedule,FAA HR schedule,Appropriate Minister 1,Appropriate Minister 2,Appropriate Minister 3,Year of incorporation,Auditor 1,Auditor 2,Fiscal year end,Federal ownership or representation,Status,End date,Notes
121,2010 Games Operating Trust Society,N.A.,N.A.,"Society Act, R.S.B.C.1996, c. 433",To promote high performance amateur sport in Canada and to contribute to the maintenance and operation of certain facilities created for the 2010 Olympic and Paralympic Winter Games.,Canadian Heritage,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Sport and Persons with Disabilities,N.A.,N.A.,2004,Ernst & Young LLP,N.A.,31-Dec,1/8 board members,Active,N.A.,N.A.
4,Aboriginal Healing Foundation,N.A.,N.A.,Incorporated through the Funding Agreements with the Government of Canada,"The Foundation was created in response to the Royal Commission on Aboriginal Peoples to address the healing needs of Aboriginal people affected by the legacy of Indian Residential Schools, including intergenerational effects. The Foundation fulfills its mandate primarily through the financial support of healing projects and healing centres across Canada. The Foundation has also published several research projects concerning the Indian Residential School experience, reconciliation, healing, the impacts of lump-sum payments, and other related issues. In addition, the Foundation contributes to public education about Indian Residential Schools and their impacts. On March 31, 2010, funding for 134 healing projects ended. Funding for twelve healing projects will continue until March 31, 2012. As part of its wind-down strategy, the Foundation will fulfill the remaining work of its mandate, which includes the publication of annual reports, corporate plans, newsletters, and the production of five more major research projects.",N.A.,Shared-Governance Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1998,N.A.,N.A.,N.A.,N.A.,Dissolved,2013,N.A.
539,Administrative Tribunals Support Service of Canada,Administrative Tribunals Support Service of Canada,www.canada.ca/en/administrative-tribunals-support-service.html,"Administrative Tribunals Support Service of Canada Act, S.C. 2014, c. 20",The Administrative Tribunals Support Service of Canada (ATSSC) is  responsible for providing the support services and the facilities that  are needed by each of the administrative tribunals it serves to enable  them to exercise their powers and perform their duties and functions in  accordance with their legislation and rules. Additional information can be found in the ATSSC’s Report on Plans and Priorities.    The Minister of Justice and Attorney General of Canada is responsible for this organization.,Justice,Departmental Agencies,ATS,I.1,IV,Minister of Justice and Attorney General of Canada,N.A.,N.A.,2014,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
7,African Development Bank,N.A.,www.afdb.org,"Articles of Agreement of the African Development Bank, 1963; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18",The African Development Bank (AFDB) has a mandate to contribute to the sustainable economic development and social progress of its regional members individually and jointly.,Global Affairs,International Organizations,N.A.,N.A.,N.A.,Minister of Foreign Affairs,N.A.,N.A.,1964,KPMG LLP,N.A.,31-Dec,3.9% ownership,Active,N.A.,N.A.
9,Asia-Pacific Foundation of Canada,N.A.,www.asiapacific.ca,"Asia-Pacific Foundation of Canada Act, R.S.C. 1985, c. A-13","The Asia-Pacific Foundation of Canada is an independent, not-for-profit think tank on Canada’s relations with Asia. The Foundation functions as a knowledge broker, bringing together people and knowledge to provide the most current and comprehensive research, analysis, and information on Canada’s trans-Pacific relations. It promotes dialogue on economic, security, political, and social issues, helping to influence public policy and foster informed decision making in Canadian public, private, and non-governmental sectors.",Global Affairs,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Foreign Affairs,N.A.,N.A.,1984,Deloitte & Touche LLP,N.A.,31-Mar,5/24 board members,Active,N.A.,N.A.
8,Asian Development Bank,N.A.,www.adb.org,"Articles of Agreement of the Asian Development Bank, 1965; implemented in Canada by the International Development (Financial Institutions) Assistance Act, R.S.C. 1985, c. I-18",The Asian Development Bank (ADB) aims for an Asia and Pacific free from poverty. The ADB is an international development finance institution whose mission is to help its developing member countries reduce poverty and improve the quality of life of their people.,Global Affairs,International Organizations,N.A.,N.A.,N.A.,Minister of Foreign Affairs,N.A.,N.A.,1966,Deloitte & Touche LLP,N.A.,31-Dec,5.2% ownership,Active,N.A.,N.A.
10,Assisted Human Reproduction Agency of Canada,N.A.,N.A.,"Assisted Human Reproduction Act, S.C. 2004, c. 2","To protect and promote the health, safety, dignity, and rights of Canadians and to foster the application of ethical principles in relation to assisted human reproduction and other matters to which the Assisted Human Reproduction Act applies.",N.A.,Departmental Corporations,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,2006,N.A.,N.A.,N.A.,N.A.,Dissolved,2012,"Bill C-38 (41/1), as passed by the House of Commons on June 29, 2012, dissolves the Agency by amending section 3 of the Assisted Human Reproduction Act to repeal the definition of Agency. P.C. decision 2012-1136 fixes September 30, 2012 as the day in which this amendment comes into force."
11,Association of Canada Lands Surveyors,N.A.,www.acls-aatc.ca,"Canada Lands Surveyors Act, S.C. 1998, c. 14 Canada Lands Surveys Act, R.S.C. 1985, c. L-6","To establish and maintain qualification standards and regulate Canada Lands Surveyors; to establish and maintain standards of conduct, knowledge, and skill among members of the Association and permit holders; to govern the activities of the members and permit holders; to cooperate with other organizations for the advancement of surveying; and to perform the duties and exercise the powers that are imposed or conferred on the Association by the Canada Lands Surveyors Act.",Natural Resources,Shared-Governance Corporations,N.A.,N.A.,N.A.,Minister of Natural Resources,N.A.,N.A.,1985,"Leslie, MacLeod",N.A.,31-Dec,3/9 board members,Active,N.A.,N.A.
12,Atlantic Canada Opportunities Agency,N.A.,www.acoa-apeca.gc.ca,"Atlantic Canada Opportunities Agency Act, R.S.C. 1985, c. 41 (4th Supp.)","Established in 1987 (Part I of the  Government Organization Act, Atlantic Canada 1987 , R.S.C., 1985, c.41 (4th Supp.), also known as  the   Atlantic Canada Opportunities Agency Act ), the Atlantic  Canada Opportunities Agency (ACOA) is the federal department responsible  for the Government of Canada’s economic development efforts in the  provinces of New Brunswick, Prince Edward Island, Nova Scotia, and Newfoundland and Labrador.    ACOA works to create opportunities for economic growth in Atlantic  Canada by helping businesses become more competitive, innovative and  productive, by working with diverse communities to develop and diversify  local economies, and by championing the strengths of Atlantic Canada.  Together, with Atlantic Canadians, it is building a stronger economy.    The Minister of Innovation, Science and Economic Development is responsible for this organization.","Innovation, Science and Economic Development",Departmental Agencies,ACO,I.1,IV,"Minister of Innovation, Science and Economic Development",N.A.,N.A.,1987,N.A.,N.A.,31-Mar,N.A.,Active,N.A.,N.A.
13,Atlantic Pilotage Authority,Atlantic Pilotage Authority Canada,www.atlanticpilotage.com,"Pilotage Act, R.S.C. 1985, c. P-14","To establish, operate, maintain, and administer, in the interest of safety, an efficient pilotage service within the designated waters set out in respect of the Authority.",Transport,Crown Corporations,PAA,III,N.A.,Minister of Transport,N.A.,N.A.,1972,Auditor General of Canada,N.A.,31-Dec,N.A.,Active,N.A.,"Disclaimer: the profile information for this organization has not yet been validated for 2017, as per the Policy on Results and the Financial Administration Act."
